"Home","Age.Group","Gender"
"Botetourt Star 03 Boys Premier U15 Boys BRSL","U15","Boys"
"Botetourt Star 2003G Premier U15 Girls BRSL","U15","Girls"
"Botetourt Star 2006G Premier U12 Girls BRSL","U12","Girls"
"Botetourt Star U17 Girls U19 Girls BRSL","U19","Girls"
"Botetourt Star U19 Girls U19 Girls BRSL","U19","Girls"
"CSC 11U 07B Navy U11 Boys BRSL","U11","Boys"
"CSC 11U 07B White U11 Boys BRSL","U11","Boys"
"CSC 12U 06B U12 Boys BRSL","U12","Boys"
"CSC 12U 06G Navy U12 Girls BRSL","U12","Girls"
"CSC 12U 06G White U12 Girls BRSL","U12","Girls"
"CSC 13U 05G U14 Girls BRSL","U14","Girls"
"CSC 15U 03B U15 Boys BRSL","U15","Boys"
"CSC 15U 03G U19 Girls BRSL","U19","Girls"
"CSC 19U 99B U19 Boys BRSL","U19","Boys"
"CVU 2005 Red U13B U13 Boys BRSL","U13","Boys"
"CVU U18 Boys Red U19 Boys BRSL","U19","Boys"
"Danville Blast U11 Boys U11 Boys BRSL","U11","Boys"
"Danville Blast U13 Coed U13 Boys BRSL","U13","Boys"
"Danville Blast U15 Boys U15 Boys BRSL","U15","Boys"
"Danville Blast U16 Boys U16 Boys BRSL","U16","Boys"
"Danville Blast U18 Boys U19 Boys BRSL","U19","Boys"
"Danville Blast U19 Boys U19 Boys BRSL","U19","Boys"
"Danville Blast U19 Girls U19 Girls BRSL","U19","Girls"
"FC Star 00 Boys U19 Boys BRSL","U19","Boys"
"FC Star 03 Boys U15 Boys BRSL","U15","Boys"
"FC Star U19 Girls Premier U19 Girls BRSL","U19","Girls"
"GC United Avengers 13U Coed U12 Boys BRSL","U12","Boys"
"New River United 06 U12G White U12 Girls BRSL","U12","Girls"
"New River United 06B White U12B U12 Boys BRSL","U12","Boys"
"New River United 07B White U11B U11 Boys BRSL","U11","Boys"
"New River United O3 U15B White U16 Boys BRSL","U16","Boys"
"PYSL Hurricanes 01 Girls U19 Girls BRSL","U19","Girls"
"PYSL Hurricanes 02 Boys U16 Boys BRSL","U16","Boys"
"PYSL Hurricanes 03 Girls U15 Girls BRSL","U15","Girls"
"PYSL Hurricanes 04 Boys U14 Boys BRSL","U14","Boys"
"PYSL Hurricanes 05 Boys U13 Boys BRSL","U13","Boys"
"PYSL Hurricanes 06 Girls U12 Girls BRSL","U12","Girls"
"PYSL Hurricanes 06 U12B U12 Boys BRSL","U12","Boys"
"PYSL Hurricanes 07 Boys U11 Boys BRSL","U11","Boys"
"PYSL Hurricanes HS U19 Boys U19 Boys BRSL","U19","Boys"
"PYSL Hurricanes PC U19 Boys U19 Boys BRSL","U19","Boys"
"Roanoke Star 02/03 Boys Premier U16 Boys BRSL","U16","Boys"
"Roanoke Star 03/04 Boys Premier U15 Boys BRSL","U15","Boys"
"Roanoke Star 04/05 Boys Premier U14 Boys BRSL","U14","Boys"
"Roanoke Star 06 Boys Premier U12 Boys BRSL","U12","Boys"
"Roanoke Star 07 Boys Premier U11 Boys BRSL","U11","Boys"
"Roanoke Star 2001 Girls Premier U19 Girls BRSL","U19","Girls"
"Roanoke Star 2003G Premier U15 Girls BRSL","U15","Girls"
"Roanoke Star 2005G Premier/Botetourt U14 Girls BRSL","U14","Girls"
"Roanoke Star 99/00 Boys Premier U19 Boys BRSL","U19","Boys"
"Roanoke Star 99/00 Premier Girls U19 Girls BRSL","U19","Girls"
"Rockbridge United 00-02 High School U18 Girls U19 Girls BRSL","U19","Girls"
"Rockbridge United 03-04 Falcons U15 Coed U14 Boys BRSL","U14","Boys"
"Rockbridge United 05-06 U13 Boys Nighthawks U13 Boys BRSL","U13","Boys"
"Rockbridge United 06-07 Owls U13G U12 Girls BRSL","U12","Girls"
"Rockbridge United 07-08 Boys Eagles U12B U11 Boys BRSL","U11","Boys"
"Rockbridge United 99-02 Condors U19 Boys U19 Boys BRSL","U19","Boys"
"Rockbridge United Augusta U11B U11 Boys BRSL","U11","Boys"
"Rockbridge United Augusta U14B U13 Boys BRSL","U13","Boys"
"Salem Sabres U11B Maroon U11 Boys BRSL","U11","Boys"
"Salem Sabres U12B Maroon U12 Boys BRSL","U12","Boys"
"Salem Sabres U12B White U11 Boys BRSL","U11","Boys"
"Salem Sabres U13 Girls U14 Girls BRSL","U14","Girls"
"Salem Sabres U13B U13 Boys BRSL","U13","Boys"
"Salem Sabres U15B U15 Boys BRSL","U15","Boys"
"Salem Sabres U15G Maroon U15 Girls BRSL","U15","Girls"
"Smith Mountain Lake Jets 11UB U11 Boys BRSL","U11","Boys"
"Smith Mountain Lake Jets 13U Boys U13 Boys BRSL","U13","Boys"
"Smith Mountain Lake Jets 14U Girls U14 Girls BRSL","U14","Girls"
"Smith Mountain Lake Jets 15U Boys U15 Boys BRSL","U15","Boys"
"Smith Mountain Lake Jets 17UB U16 Boys BRSL","U16","Boys"
"Smith Mountain Lake Jets 18U Boys U19 Boys BRSL","U19","Boys"
"SWVA 12U (06B) Nero U11 Boys BRSL","U11","Boys"
"SWVA 12U (06B) Rush U12 Boys BRSL","U12","Boys"
"SWVA 12U (06G) Rush U12 Girls BRSL","U12","Girls"
"SWVA 13U (05B) Rush U13 Boys BRSL","U13","Boys"
"SWVA 14U (04B) Rush U14 Boys BRSL","U14","Boys"
